City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Ternate,ID,83.12,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
11,Laguna,US,78.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
12,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Butaritari,KI,81.54,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
19,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Rikitea,PF,77.76,overcast clouds,-23.1203,-134.9692,People ThankYou
25,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
38,Porto Novo,BJ,81.57,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
40,Pachmarhi,IN,78.87,clear sky,22.4667,78.4333,TBT Budget Stays
41,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
44,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
52,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
54,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
56,Itaguai,BR,77.68,broken clouds,-22.8522,-43.7753,It Grande Hotel Itaguai
61,Atuona,PF,79.88,few clouds,-9.8,-139.0333,Villa Enata
73,Belmonte,BR,76.93,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
76,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
84,Hilo,US,78.53,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
88,Gilbues,BR,76.3,broken clouds,-9.8317,-45.3439,Hotel Camapuã
95,Akyab,MM,81.1,few clouds,20.15,92.9,Hotel Memory
106,Salinopolis,BR,78.08,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
109,Catuday,PH,82.62,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
111,Kualakapuas,ID,84.25,scattered clouds,-3.0091,114.3876,Guest House Izonk
115,Faanui,PF,82.22,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
120,Pedasi,PA,78.06,overcast clouds,7.5333,-80.0333,Selina Pedasi
124,Cap Malheureux,MU,79.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
127,Mehran,IR,76.87,scattered clouds,33.1222,46.1646,بوتیک زنانه بهار
128,Omboue,GA,76.8,overcast clouds,-1.5746,9.2618,Hotel Olako
131,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
133,Sao Jose Da Coroa Grande,BR,78.28,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
134,Dhamrai,BD,82.38,scattered clouds,23.9202,90.2109,Dhamrai to Kalampur Auto Station
137,Hithadhoo,MV,82.81,clear sky,-0.6,73.0833,Scoop Guest House
138,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
140,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
142,Kaeo,NZ,75.33,broken clouds,-35.1,173.7833,Bushido Lodge
144,Camacari,BR,80.37,clear sky,-12.6975,-38.3242,Sítio Blasi
148,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
149,Lafiagi,NG,81.73,overcast clouds,8.8667,5.4167,Bus group international
150,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
154,Sawakin,SD,77.76,broken clouds,19.1059,37.3321,فندق الدويم
156,Azare,NG,79.88,overcast clouds,11.6765,10.1948,Mallam Ayuba Compound
164,Matara,LK,79.38,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
166,Yanam,IN,82.62,overcast clouds,16.7333,82.2167,The Regency Hotel
169,Padang,ID,82.45,clear sky,-0.9492,100.3543,Mercure Padang
175,Buchanan,LR,78.17,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
183,Conceicao Da Barra,BR,75.4,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
193,Anloga,GH,82.67,light rain,5.7947,0.8973,Pin Drop Hotel
197,Kilindoni,TZ,82.22,clear sky,-7.9139,39.6668,Bustani B&B
198,Gwadar,PK,76.89,broken clouds,25.1216,62.3254,Sadaf Resort
199,Kavieng,PG,84.4,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
201,Kaduqli,SD,81.91,few clouds,11.0167,29.7167,Nussyba
204,Muisne,EC,77.04,broken clouds,0.6,-80.0333,Quinta Samay
205,Iralaya,HN,79.11,overcast clouds,15.0,-83.2333,Iglesia morava renovada
217,Tchaourou,BJ,76.98,scattered clouds,8.8865,2.5975,SAFIR HOTEL
218,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
220,Thaton,MM,83.19,broken clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
228,Lorengau,PG,84.67,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
234,Malakal,SS,84.56,scattered clouds,9.5334,31.6605,Nile Palace Hotel
240,Tautira,PF,82.63,few clouds,-17.7333,-149.15,Pension Oaoa
243,Niquero,CU,77.99,clear sky,20.0431,-77.5828,Islazul Niquero
247,Kochi,IN,75.18,few clouds,9.9399,76.2602,Trident Hotel Cochin
250,La Trinite,MQ,77.05,few clouds,14.7376,-60.9629,L'Appartement de la Baie
255,Saint-Leu,RE,76.03,overcast clouds,-21.15,55.2833,La Caz Oceane
256,Namatanai,PG,84.56,light rain,-3.6667,152.4333,Seagulls Inn Namatani
257,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
259,Balikpapan,ID,83.39,clear sky,-1.2675,116.8289,Swiss-Belhotel Balikpapan
262,Vao,NC,79.32,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
263,Lidice,PA,77.4,overcast clouds,8.75,-79.9,unidad 109
265,Arraial Do Cabo,BR,76.33,clear sky,-22.9661,-42.0278,Pousada Porto Praia
270,Soyo,AO,77.72,overcast clouds,-6.1349,12.3689,Hotel Mpampa
272,Cabedelo,BR,75.87,light rain,-6.9811,-34.8339,Hotel Pigalle
273,Richards Bay,ZA,75.61,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
286,Nyaunglebin,MM,84.34,broken clouds,17.95,96.7333,Thi ha
293,Batemans Bay,AU,76.91,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
294,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
298,Le Vauclin,MQ,77.05,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
300,Kalmunai,LK,79.56,overcast clouds,7.4167,81.8167,VS Villa
306,Humaita,BR,75.51,broken clouds,-7.5061,-63.0208,Corrêa Hotel
307,Fomboni,KM,82.4,light rain,-12.28,43.7425,Auberge les abou
322,Sorong,ID,83.41,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
326,Progreso,MX,80.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
329,Ewa Beach,US,82.35,few clouds,21.3156,-158.0072,Base Lodging
330,Tual,ID,82.02,few clouds,-5.6667,132.75,Grand Vilia Hotel
333,Bilma,NE,82.27,clear sky,18.6853,12.9164,Expeditions Ténére voyages
336,Champerico,GT,82.6,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
337,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
342,Varzea Grande,BR,78.67,scattered clouds,-15.6467,-56.1325,Hotel Express
344,Dawei,MM,81.12,scattered clouds,14.0833,98.2,Hotel Dawei
358,Kuching,MY,84.42,few clouds,1.55,110.3333,Hilton Kuching
361,Bosaso,SO,79.45,clear sky,11.2842,49.1816,Red Sea Hotel
362,Ahuimanu,US,77.94,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
364,Puerto Escondido,MX,79.09,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
365,Kousseri,CM,82.33,scattered clouds,12.0769,15.0306,Le Pilotis
378,Salalah,OM,75.72,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
380,Honiara,SB,83.12,light rain,-9.4333,159.95,Heritage Park Hotel
382,Bonthe,SL,76.24,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
383,Isangel,VU,84.52,overcast clouds,-19.55,169.2667,Tanna Lodge
393,Bengkulu,ID,81.54,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
395,Mumford,GH,80.51,light rain,5.2618,-0.759,Spanish Villa
397,Sinnamary,GF,77.29,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
399,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
405,Moerai,PF,81.9,overcast clouds,-22.4333,-151.3333,Le Manotel
410,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
417,Itarema,BR,76.39,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
418,The Valley,AI,78.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
421,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
423,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
429,Auki,SB,79.18,overcast clouds,-8.7676,160.7034,Auki Motel
432,Labuhan,ID,82.08,broken clouds,-6.8844,112.2051,DoubleFAG
437,Kupang,ID,83.5,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
438,Ratnagiri,IN,79.54,scattered clouds,16.9833,73.3,Hotel Landmark
441,Caravelas,BR,76.57,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
443,Karaton,ID,83.61,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
444,Marang,MY,80.51,broken clouds,5.2056,103.2059,DBarakah Homestay
457,Torit,SS,76.15,overcast clouds,4.4133,32.5678,Diplomat Guest House
460,Hobyo,SO,80.47,broken clouds,5.3505,48.5268,Iftin hotel hobyo
462,Blythe,US,81.03,overcast clouds,33.6103,-114.5964,Rodeway Inn & Suites
466,Byron Bay,AU,76.71,broken clouds,-28.65,153.6167,Backpackers Inn
468,Arlit,NE,82.26,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
476,Port Macquarie,AU,77.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
478,Dzitbalche,MX,80.02,overcast clouds,20.3167,-90.05,Lavadero San Mateo
484,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
490,Culebra,PR,75.99,clear sky,18.303,-65.301,Palmetto Guesthouse
493,Barela,IN,83.21,haze,23.1,80.05,Jain uttam Mistan bhandar
496,Badarwas,IN,81.73,clear sky,24.9667,77.5667,योगराज मोटर्स
499,Hojai,IN,81.03,few clouds,26.0,92.8667,Luxury park hotel
500,Victoria Point,AU,83.25,overcast clouds,-27.5833,153.3,Bay Retreat Motel
502,Mogadishu,SO,80.37,scattered clouds,2.0371,45.3438,Hotel Juba
503,Aswan,EG,79.9,clear sky,24.0934,32.907,Nuba Nile
505,Tonk,IN,79.56,clear sky,26.1667,75.7833,Hotel sheetal Resort & Midway Restaurant
513,Puerto Rondon,CO,79.99,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
514,Wukari,NG,80.71,overcast clouds,7.85,9.7833,Elimtop
516,Funtua,NG,78.51,overcast clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
518,Takoradi,GH,80.8,light rain,4.8845,-1.7554,Raybow International Hotel
522,Ferkessedougou,CI,81.5,overcast clouds,9.6,-5.2,Hotel Chateau
527,San Matias,BO,75.42,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
531,Jiwani,PK,77.31,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
533,Ugoofaaru,MV,83.17,clear sky,5.6667,73.0,Ungoofaaru Inn
539,Umm Lajj,SA,75.29,overcast clouds,25.0213,37.2685,Moon light Furnished Units
540,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
555,Kibala,TD,82.54,overcast clouds,9.1104,18.3463,hotel safari
559,Pundaguitan,PH,81.88,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
560,Robertsport,LR,78.33,broken clouds,6.7533,-11.3686,Kwepunha Retreat
562,Sola,VU,81.41,overcast clouds,-13.8833,167.55,Leumerus Bungalows
567,Mandera,KE,81.48,broken clouds,3.9366,41.867,Hiren Hotel Mandera
569,Curumani,CO,75.99,overcast clouds,9.1999,-73.5427,Hotel Mayumir
572,Lodwar,KE,83.19,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
578,Cockburn Town,TC,78.33,clear sky,21.4612,-71.1419,Osprey Beach Hotel
587,Mangoso,PH,82.11,overcast clouds,11.4175,122.6382,Lyndon F. Alayon
593,Kieta,PG,83.61,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
595,Mahibadhoo,MV,83.08,scattered clouds,3.7833,72.9667,Omadhoo Inn
600,Port Augusta,AU,76.95,clear sky,-32.5,137.7667,Majestic Oasis Apartments
601,San Lorenzo,PY,76.93,overcast clouds,-25.3333,-57.5333,Canarias Hotel
606,Kumbhraj,IN,81.99,clear sky,24.3667,77.05,Shubhodye Nebas
617,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
618,Inhambane,MZ,75.22,clear sky,-23.865,35.3833,Oceano
634,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
635,Porbandar,IN,77.68,clear sky,21.6422,69.6093,Lords Inn Porbandar
637,Bom Jesus,BR,79.56,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
642,Hervey Bay,AU,82.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
643,Samarai,PG,82.76,overcast clouds,-10.6167,150.6667,Nuli Sapi
644,Isla Mujeres,MX,80.17,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
646,Meulaboh,ID,78.06,overcast clouds,4.1363,96.1285,Kost Pria
650,Davila,PH,77.83,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
656,Sibolga,ID,82.42,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
657,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
659,Iracoubo,GF,77.23,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
663,Neiafu,TO,82.42,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
665,Bagamoyo,TZ,76.08,light rain,-6.4333,38.9,Be Swahilid B and B
671,Mana,GF,77.14,overcast clouds,5.6592,-53.7767,LE SAMANA
680,Pyapon,MM,82.62,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
692,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
694,Ballina,AU,77.77,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
